track_id,artist_name,track_name,album_name,album_release_date,duration_ms,explicit,track_number,disc_number,track_popularity,album_popularity,track_vs_album_popularity,artist_popularity,artist_followers,album_vs_artist_popularity,tempo,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,energy_danceability_score
3wYKklnn7mtd8zG3raVrpf,Howard Roberts,Raisin: Runnin' to Meet the Man,Raisin (Original Broadway Cast Recording),1973-01-01,189826,0,4,1,2,5,1.1304347826086958,29,6900,1.0,134.684,7,0,0.588,0.505,-11.183,0.0785,0.636,0.0,0.0385,0.778,0.29694
3wYKklnn7mtd8zG3raVrpf,Joe Morton,Raisin: Runnin' to Meet the Man,Raisin (Original Broadway Cast Recording),1973-01-01,189826,0,4,1,2,5,1.1304347826086958,24,219,1.0,134.684,7,0,0.588,0.505,-11.183,0.0785,0.636,0.0,0.0385,0.778,0.29694
3wYKklnn7mtd8zG3raVrpf,Judd Woldin,Raisin: Runnin' to Meet the Man,Raisin (Original Broadway Cast Recording),1973-01-01,189826,0,4,1,2,5,1.1304347826086958,3,92,1.0,134.684,7,0,0.588,0.505,-11.183,0.0785,0.636,0.0,0.0385,0.778,0.29694
3wYKklnn7mtd8zG3raVrpf,Raisin Ensemble,Raisin: Runnin' to Meet the Man,Raisin (Original Broadway Cast Recording),1973-01-01,189826,0,4,1,2,5,1.1304347826086958,0,1,1.0,134.684,7,0,0.588,0.505,-11.183,0.0785,0.636,0.0,0.0385,0.778,0.29694
3wYKmhfyTGzwlKnRQhm1hk,Cojo,Ars Moriendi,Erupt,2025-03-12,218272,0,4,1,40,39,1.1810012836970474,40,8228,1.2098540145985401,128.063,4,0,0.579,0.888,-4.616,0.0455,0.00205,0.00217,0.112,0.413,0.5141519999999999
3wYKmhfyTGzwlKnRQhm1hk,EMAA,Ars Moriendi,Erupt,2025-03-12,218272,0,4,1,40,39,1.1810012836970474,41,49375,2.410668924640136,128.063,4,0,0.579,0.888,-4.616,0.0455,0.00205,0.00217,0.112,0.413,0.5141519999999999
3wYKmhfyTGzwlKnRQhm1hk,Iustin,Ars Moriendi,Erupt,2025-03-12,218272,0,4,1,40,39,1.1810012836970474,32,2533,0.9512195121951219,128.063,4,0,0.579,0.888,-4.616,0.0455,0.00205,0.00217,0.112,0.413,0.5141519999999999
3wYKnArF90BFTkigoovqRJ,luffmoor,closer now,closer now,2023-10-16,123341,0,1,1,4,1,1.0,32,992,0.391304347826087,203.934,4,1,0.533,0.143,-16.958,0.0584,0.911,0.796,0.0923,0.103,0.076219
3wYKnArF90BFTkigoovqRJ,steezy prime,closer now,closer now,2023-10-16,123341,0,1,1,4,1,1.0,56,17804,0.27380952380952384,203.934,4,1,0.533,0.143,-16.958,0.0584,0.911,0.796,0.0923,0.103,0.076219
3wYKndzE87hAvN7HHOMafr,Kodak Black,Walk,SUMMER HIP HOP SAD GROOVES,2025-05-29,166039,1,12,1,1,6,0.3142857142857143,82,11754462,1.0,130.04,8,1,0.817,0.512,-6.943,0.0984,0.037,0.0,0.216,0.17,0.418304
